//Item key;item id;item meta;label (indicative only)

waterbucket;minecraft:water_bucket;0;Water Bucket
full_bottle;minecraft:potion;0;Water Bottle
swift_potion;minecraft:potion;8194;Swift Potion
strength_potion;minecraft:potion;8265;Strength Potion
healing_potion;minecraft:potion;8197;Health Potion I
sugar;minecraft:sugar;0;Sugar
blazepowder;minecraft:blaze_powder;0;Blaze Powder
blazerod;minecraft:blaze_rod;0;Blaze Rod
spellbook;wizardry:spell_book;0;Spell Book
magiccrystal;ebwizardry:magic_crystal;0;Magic Crystal
wizhat;ebwizardry:wizard_hat;0;Wizard Hat
wizrobe;ebwizardry:wizard_robe;0;Wizard Robe
wizboots;ebwizardry:wizard_boots;0;Wizard Boots
wizlegs;ebwizardry:wizard_leggings;0;Wizard Pants
icelance;ebwizardry:scroll;126;Ice Lance


// 7.1.2 04-03-2019 12:45:20 ERROR: null: Culture: wizards: Error when reading value 'wizard,blaze_rod' for parameter travelbookcategoryicon: Unknown item: blaze_rod
// 7.1.2 04-03-2019 12:45:20 ERROR: null: Culture: wizards: Error when reading value 'townhall,book_enchanted' for parameter travelbookcategoryicon: Unknown item: book_enchanted
// 7.1.2 04-03-2019 12:45:20 ERROR: null: Culture: wizards: Error when reading value 'lonebuilding,door_dark_oak' for parameter travelbookcategoryicon: Unknown item: door_dark_oak
// 7.1.2 04-03-2019 12:45:20 ERROR: null: Culture: wizards: Error when reading value 'playerbuilding,door_iron' for parameter travelbookcategoryicon: Unknown item: door_iron
// 7.1.2 04-03-2019 12:45:20 ERROR: null: Culture: wizards: Error when reading value 'construction,wood_axe' for parameter travelbookcategoryicon: Unknown item: wood_axe
// 7.1.2 04-03-2019 12:45:20 ERROR: null: Culture: wizards: Error when reading value 'crafting,crafting_table_top' for parameter travelbookcategoryicon: Unknown item: crafting_table_top
// 7.1.2 04-03-2019 12:45:20 ERROR: null: Culture: wizards: Error when reading value 'weapons,blaze_rod' for parameter travelbookcategoryicon: Unknown item: blaze_rod
// 7.1.2 04-03-2019 12:45:20 ERROR: null: Culture: wizards: Error when reading value 'foreigntrade,minecart_chest' for parameter travelbookcategoryicon: Unknown item: minecart_chest
