ID,Class Name,BlockState Properties,BlockState Class Name
ebwizardry:arcane_workbench,electroblob.wizardry.block.BlockArcaneWorkbench,[],net.minecraft.block.state.BlockStateContainer
ebwizardry:crystal_block,net.minecraft.block.Block,[],net.minecraft.block.state.BlockStateContainer
ebwizardry:crystal_flower,electroblob.wizardry.block.BlockCrystalFlower,[],net.minecraft.block.state.BlockStateContainer
ebwizardry:crystal_ore,electroblob.wizardry.block.BlockCrystalOre,[],net.minecraft.block.state.BlockStateContainer
ebwizardry:ice_statue,electroblob.wizardry.block.BlockStatue,[],net.minecraft.block.state.BlockStateContainer
ebwizardry:magic_light,electroblob.wizardry.block.BlockMagicLight,[],net.minecraft.block.state.BlockStateContainer
ebwizardry:meteor,net.minecraft.block.Block,[],net.minecraft.block.state.BlockStateContainer
ebwizardry:petrified_stone,electroblob.wizardry.block.BlockStatue,[],net.minecraft.block.state.BlockStateContainer
ebwizardry:snare,electroblob.wizardry.block.BlockSnare,[],net.minecraft.block.state.BlockStateContainer
ebwizardry:spectral_block,electroblob.wizardry.block.BlockSpectral,[],net.minecraft.block.state.BlockStateContainer
ebwizardry:transportation_stone,electroblob.wizardry.block.BlockTransportationStone,[],net.minecraft.block.state.BlockStateContainer
ebwizardry:vanishing_cobweb,electroblob.wizardry.block.BlockVanishingCobweb,[],net.minecraft.block.state.BlockStateContainer
ftfloocraft:blockfloosign,com.fredtargaryen.floocraft.block.BlockFlooSign,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
ftfloocraft:flootorch,com.fredtargaryen.floocraft.block.BlockFlooTorch,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[up, north, south, west, east]}]",net.minecraft.block.state.BlockStateContainer
ftfloocraft:floowerpot,com.fredtargaryen.floocraft.block.BlockFloowerPot,[],net.minecraft.block.state.BlockStateContainer
ftfloocraft:greenflamesbusy,com.fredtargaryen.floocraft.block.GreenFlamesBusy,"[PropertyInteger{name=age, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}]",net.minecraft.block.state.BlockStateContainer
ftfloocraft:greenflamesidle,com.fredtargaryen.floocraft.block.GreenFlamesIdle,"[PropertyInteger{name=age, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}]",net.minecraft.block.state.BlockStateContainer
ftfloocraft:greenflamestemp,com.fredtargaryen.floocraft.block.GreenFlamesTemp,"[PropertyInteger{name=age, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}]",net.minecraft.block.state.BlockStateContainer
ichunutil:compact_porkchop,me.ichun.mods.ichunutil.common.block.BlockCompactPorkchop,[],net.minecraft.block.state.BlockStateContainer
millenaire:alchemistexplosive,org.millenaire.common.block.BlockAlchemistExplosive,[],net.minecraft.block.state.BlockStateContainer
