ID,Class Name,BlockState Properties,BlockState Class Name
millenaire:alchemistexplosive,org.millenaire.common.block.BlockAlchemistExplosive,[],net.minecraft.block.state.BlockStateContainer
millenaire:animalspawn,org.millenaire.common.block.mock.MockBlockAnimalSpawn,"[PropertyEnum{name=creature, clazz=class org.millenaire.common.block.mock.MockBlockAnimalSpawn$Creature, values=[Animal Spawn (cow), Animal Spawn (pig), Animal Spawn (sheep), Animal Spawn (chicken), Animal Spawn (squid), Animal Spawn (wolf), Animal Spawn (polarbear)]}]",net.minecraft.block.state.BlockStateContainer
millenaire:bed_straw,org.millenaire.common.block.BlockMillBed,"[PropertyDirection{name=facing, clazz=class net.minecraft.util.EnumFacing, values=[north, south, west, east]}, PropertyBool{name=occupied, clazz=class java.lang.Boolean, values=[true, false]}, PropertyEnum{name=part, clazz=class net.minecraft.block.BlockBed$EnumPartType, values=[head, foot]}]",net.minecraft.block.state.BlockStateContainer
millenaire:byzantine_stone_tiles,org.millenaire.common.block.BlockOrientedSlab$BlockOrientedSlabDouble,"[PropertyEnum{name=axis, clazz=class net.minecraft.util.EnumFacing$Axis, values=[x, y, z]}, PropertyEnum{name=variant, clazz=class org.millenaire.common.block.BlockOrientedSlab$Variant, values=[DEFAULT]}]",net.minecraft.block.state.BlockStateContainer
millenaire:byzantine_tiles,org.millenaire.common.block.BlockOrientedSlab$BlockOrientedSlabDouble,"[PropertyEnum{name=axis, clazz=class net.minecraft.util.EnumFacing$Axis, values=[x, y, z]}, PropertyEnum{name=variant, clazz=class org.millenaire.common.block.BlockOrientedSlab$Variant, values=[DEFAULT]}]",net.minecraft.block.state.BlockStateContainer
millenaire:byzantine_tiles_slab,org.millenaire.common.block.BlockOrientedSlab$BlockOrientedSlabSlab,"[PropertyEnum{name=axis, clazz=class net.minecraft.util.EnumFacing$Axis, values=[x, y, z]}, PropertyEnum{name=half, clazz=class net.minecraft.block.BlockSlab$EnumBlockHalf, values=[top, bottom]}, PropertyEnum{name=variant, clazz=class org.millenaire.common.block.BlockOrientedSlab$Variant, values=[DEFAULT]}]",net.minecraft.block.state.BlockStateContainer
millenaire:crop_maize,org.millenaire.common.block.BlockMillCrops,"[PropertyInteger{name=age, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7]}]",net.minecraft.block.state.BlockStateContainer
millenaire:crop_rice,org.millenaire.common.block.BlockMillCrops,"[PropertyInteger{name=age, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7]}]",net.minecraft.block.state.BlockStateContainer
millenaire:crop_turmeric,org.millenaire.common.block.BlockMillCrops,"[PropertyInteger{name=age, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7]}]",net.minecraft.block.state.BlockStateContainer
millenaire:crop_vine,org.millenaire.common.block.BlockMillCrops,"[PropertyInteger{name=age, clazz=class java.lang.Integer, values=[0, 1, 2, 3, 4, 5, 6, 7]}]",net.minecraft.block.state.BlockStateContainer
millenaire:decorblock,org.millenaire.common.block.mock.MockBlockDecor,"[PropertyEnum{name=type, clazz=class org.millenaire.common.block.mock.MockBlockDecor$Type, values=[Decor Block (tapestry), Decor Block (indianstatue), Decor Block (byzantineiconsmall), Decor Block (byzantineiconmedium), Decor Block (byzantineiconlarge), Decor Block (mayanstatue), Decor Block (hidehanging)]}]",net.minecraft.block.state.BlockStateContainer
millenaire:earth_deco,org.millenaire.common.block.BlockDecorativeEarth,"[PropertyEnum{name=variant, clazz=class org.millenaire.common.block.BlockDecorativeEarth$EnumType, values=[dirtwall]}]",net.minecraft.block.state.BlockStateContainer
millenaire:fire_pit,org.millenaire.common.block.BlockFirePit,"[PropertyEnum{name=alignment, clazz=class org.millenaire.common.block.BlockFirePit$EnumAlignment, values=[X, Z]}, PropertyBool{name=lit, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
millenaire:freeblock,org.millenaire.common.block.mock.MockBlockFree,"[PropertyEnum{name=resource, clazz=class org.millenaire.common.block.mock.MockBlockFree$Resource, values=[Free Block (stone), Free Block (sand), Free Block (gravel), Free Block (sandstone), Free Block (wool)]}]",net.minecraft.block.state.BlockStateContainer
millenaire:icebrick,org.millenaire.common.block.BlockCustomIce,[],net.minecraft.block.state.BlockStateContainer
millenaire:import_table,org.millenaire.common.block.BlockImportTable,[],net.minecraft.block.state.BlockStateContainer
millenaire:inuitcarving,org.millenaire.common.block.BlockInuitCarving,"[PropertyEnum{name=axis, clazz=class net.minecraft.util.EnumFacing$Axis, values=[x, y, z]}]",net.minecraft.block.state.BlockStateContainer
millenaire:leaves_appletree,org.millenaire.common.block.BlockFruitLeaves,"[PropertyInteger{name=age, clazz=class java.lang.Integer, values=[0, 1, 2, 3]}, PropertyBool{name=check_decay, clazz=class java.lang.Boolean, values=[true, false]}, PropertyBool{name=decayable, clazz=class java.lang.Boolean, values=[true, false]}]",net.minecraft.block.state.BlockStateContainer
