ID,Metadata,NBT Tag Compound,Display Name,Tooltip,Translation Key,Class Name,Is ItemBlock,OreDict Names,Max Stack Size,Max Damage,Model Name
ebwizardry:advanced_wand,0,,Advanced Wand,"§7Current Spell: §7§7[Empty Slot]
§9Mana: 1500/1500",item.ebwizardry:advanced_wand,electroblob.wizardry.item.ItemWand,-,,1,1500,ebwizardry:advanced_wand#inventory
ebwizardry:apprentice_wand,0,,Apprentice Wand,"§7Current Spell: §7§7[Empty Slot]
§9Mana: 1000/1000",item.ebwizardry:apprentice_wand,electroblob.wizardry.item.ItemWand,-,,1,1000,ebwizardry:apprentice_wand#inventory
ebwizardry:arcane_tome,1,,Tome of Arcana,"§bApprentice
§7Upgrades any §fNovice
§7wand to §bApprentice§7 tier",item.ebwizardry:arcane_tome,electroblob.wizardry.item.ItemArcaneTome,-,,1,0,ebwizardry:arcane_tome#inventory
ebwizardry:arcane_tome,2,,Tome of Arcana,"§1Advanced
§7Upgrades any §bApprentice
§7wand to §1Advanced§7 tier",item.ebwizardry:arcane_tome,electroblob.wizardry.item.ItemArcaneTome,-,,1,0,ebwizardry:arcane_tome#inventory
ebwizardry:arcane_tome,3,,Tome of Arcana,"§5Master
§7Upgrades any §1Advanced
§7wand to §5Master§7 tier",item.ebwizardry:arcane_tome,electroblob.wizardry.item.ItemArcaneTome,-,,1,0,ebwizardry:arcane_tome#inventory
ebwizardry:arcane_workbench,0,,Arcane Workbench,,tile.ebwizardry:arcane_workbench,net.minecraft.item.ItemBlock,+,,64,0,ebwizardry:arcane_workbench#inventory
ebwizardry:armour_upgrade,0,,Arcane Seal of Protection,"§7Upgrades any wizard armour
§7to make it §dlegendary",item.ebwizardry:armour_upgrade,electroblob.wizardry.item.ItemArmourUpgrade,-,,1,0,ebwizardry:armour_upgrade#inventory
ebwizardry:attunement_upgrade,0,,Wand Attunement Upgrade,,item.ebwizardry:attunement_upgrade,net.minecraft.item.Item,-,,64,0,ebwizardry:attunement_upgrade#inventory
ebwizardry:basic_earth_wand,0,,§2Wand of the Forest,"§8+15% Earth potency
§7Current Spell: §7§7[Empty Slot]
§9Mana: 700/700",item.ebwizardry:basic_earth_wand,electroblob.wizardry.item.ItemWand,-,,1,700,ebwizardry:basic_earth_wand#inventory
ebwizardry:basic_fire_wand,0,,§4Wand of Embers,"§8+15% Fire potency
§7Current Spell: §7§7[Empty Slot]
§9Mana: 700/700",item.ebwizardry:basic_fire_wand,electroblob.wizardry.item.ItemWand,-,,1,700,ebwizardry:basic_fire_wand#inventory
ebwizardry:basic_healing_wand,0,,§eWand of Healing,"§8+15% Healing potency
§7Current Spell: §7§7[Empty Slot]
§9Mana: 700/700",item.ebwizardry:basic_healing_wand,electroblob.wizardry.item.ItemWand,-,,1,700,ebwizardry:basic_healing_wand#inventory
ebwizardry:basic_ice_wand,0,,§bWand of Frost,"§8+15% Ice potency
§7Current Spell: §7§7[Empty Slot]
§9Mana: 700/700",item.ebwizardry:basic_ice_wand,electroblob.wizardry.item.ItemWand,-,,1,700,ebwizardry:basic_ice_wand#inventory
ebwizardry:basic_lightning_wand,0,,§3Wand of Sparks,"§8+15% Lightning potency
§7Current Spell: §7§7[Empty Slot]
§9Mana: 700/700",item.ebwizardry:basic_lightning_wand,electroblob.wizardry.item.ItemWand,-,,1,700,ebwizardry:basic_lightning_wand#inventory
ebwizardry:basic_necromancy_wand,0,,§5Wand of Shadows,"§8+15% Necromancy potency
§7Current Spell: §7§7[Empty Slot]
§9Mana: 700/700",item.ebwizardry:basic_necromancy_wand,electroblob.wizardry.item.ItemWand,-,,1,700,ebwizardry:basic_necromancy_wand#inventory
ebwizardry:basic_sorcery_wand,0,,§aWand of Mystery,"§8+15% Sorcery potency
§7Current Spell: §7§7[Empty Slot]
§9Mana: 700/700",item.ebwizardry:basic_sorcery_wand,electroblob.wizardry.item.ItemWand,-,,1,700,ebwizardry:basic_sorcery_wand#inventory
ebwizardry:blank_scroll,0,,Blank Scroll,,item.ebwizardry:blank_scroll,net.minecraft.item.Item,-,,64,0,ebwizardry:blank_scroll#inventory
ebwizardry:blast_upgrade,0,,Wand Blast Upgrade,,item.ebwizardry:blast_upgrade,net.minecraft.item.Item,-,,64,0,ebwizardry:blast_upgrade#inventory
ebwizardry:condenser_upgrade,0,,Wand Condenser Upgrade,,item.ebwizardry:condenser_upgrade,net.minecraft.item.Item,-,,64,0,ebwizardry:condenser_upgrade#inventory
ebwizardry:cooldown_upgrade,0,,Wand Cooldown Upgrade,,item.ebwizardry:cooldown_upgrade,net.minecraft.item.Item,-,,64,0,ebwizardry:cooldown_upgrade#inventory
ebwizardry:crystal_block,0,,Block of Crystal,,tile.ebwizardry:crystal_block,net.minecraft.item.ItemBlock,+,,64,0,ebwizardry:crystal_block#inventory
ebwizardry:crystal_flower,0,,Crystal Flower,,tile.ebwizardry:crystal_flower,net.minecraft.item.ItemBlock,+,,64,0,ebwizardry:crystal_flower#inventory
ebwizardry:crystal_ore,0,,Crystal Ore,,tile.ebwizardry:crystal_ore,net.minecraft.item.ItemBlock,+,,64,0,ebwizardry:crystal_ore#inventory
ebwizardry:duration_upgrade,0,,Wand Duration Upgrade,,item.ebwizardry:duration_upgrade,net.minecraft.item.Item,-,,64,0,ebwizardry:duration_upgrade#inventory
ebwizardry:firebomb,0,,Firebomb,,item.ebwizardry:firebomb,electroblob.wizardry.item.ItemFirebomb,-,,16,0,ebwizardry:firebomb#inventory
ebwizardry:identification_scroll,0,,Scroll of Identification,"§7Identifies an unknown
§7spell book or scroll",item.ebwizardry:identification_scroll,electroblob.wizardry.item.ItemIdentificationScroll,-,,64,0,ebwizardry:identification_scroll#inventory
ebwizardry:magic_crystal,0,,Magic Crystal,,item.ebwizardry:magic_crystal,net.minecraft.item.Item,-,,64,0,ebwizardry:magic_crystal#inventory
ebwizardry:magic_silk,0,,Magical Silk,,item.ebwizardry:magic_silk,net.minecraft.item.Item,-,,64,0,ebwizardry:magic_silk#inventory
