ID,Metadata,NBT Tag Compound,Display Name,
ebwizardry:advanced_wand,0,,Advanced Wand,
ebwizardry:apprentice_wand,0,,Apprentice Wand,
ebwizardry:arcane_tome,1,,Tome of Arcana,
ebwizardry:arcane_tome,2,,Tome of Arcana,
ebwizardry:arcane_tome,3,,Tome of Arcana,
ebwizardry:arcane_workbench,0,,Arcane Workbench,
ebwizardry:armour_upgrade,0,,Arcane Seal of Protection,
ebwizardry:attunement_upgrade,0,,Wand Attunement Upgrade,
ebwizardry:basic_earth_wand,0,,§2Wand of the Forest,
ebwizardry:basic_fire_wand,0,,§4Wand of Embers,
ebwizardry:basic_healing_wand,0,,§eWand of Healing,
ebwizardry:basic_ice_wand,0,,§bWand of Frost,
ebwizardry:basic_lightning_wand,0,,§3Wand of Sparks,
ebwizardry:basic_necromancy_wand,0,,§5Wand of Shadows,
ebwizardry:basic_sorcery_wand,0,,§aWand of Mystery,
ebwizardry:blank_scroll,0,,Blank Scroll,
ebwizardry:blast_upgrade,0,,Wand Blast Upgrade,
ebwizardry:condenser_upgrade,0,,Wand Condenser Upgrade,
ebwizardry:cooldown_upgrade,0,,Wand Cooldown Upgrade,
ebwizardry:crystal_block,0,,Block of Crystal,
ebwizardry:crystal_flower,0,,Crystal Flower,
ebwizardry:crystal_ore,0,,Crystal Ore,
ebwizardry:duration_upgrade,0,,Wand Duration Upgrade,
ebwizardry:firebomb,0,,Firebomb,
ebwizardry:identification_scroll,0,,Scroll of Identification,
ebwizardry:magic_crystal,0,,Magic Crystal,
ebwizardry:magic_silk,0,,Magical Silk,
ebwizardry:magic_wand,0,,Magic Wand,
ebwizardry:mana_flask,0,,Mana Flask,
ebwizardry:master_wand,0,,Master Wand,
ebwizardry:poison_bomb,0,,Poison Bomb,
ebwizardry:range_upgrade,0,,Wand Range Upgrade,
ebwizardry:scroll,60,,Scroll of Chain Lightning,
ebwizardry:scroll,91,,Scroll of Meteor,
ebwizardry:scroll,117,,Scroll of Sixth Sense,
ebwizardry:scroll,31,,Scroll of Wither,
ebwizardry:scroll,48,,Scroll of Summon Blaze,
ebwizardry:scroll,58,,Scroll of Frost Axe,
ebwizardry:scroll,100,,Scroll of Summon Skeleton Legion,
ebwizardry:scroll,67,,Scroll of Entrapment,
ebwizardry:scroll,121,,Scroll of Imbue Weapon,
ebwizardry:scroll,63,,Scroll of Static Aura,
ebwizardry:scroll,109,,Scroll of Diamondflesh,
ebwizardry:scroll,22,,Scroll of Frost Sigil,
ebwizardry:scroll,87,,Scroll of Healing Aura,
