,,,,,,,,,,,
millenaire:yumibow,0,,Yumi Bow,,item.millenaire.yumibow,org.millenaire.common.item.ItemMillenaireBow,-,,1,384,millenaire:yumibow#inventory
minecraft:acacia_boat,0,,Acacia Boat,,item.boat.acacia,net.minecraft.item.ItemBoat,-,,1,0,minecraft:acacia_boat#inventory
minecraft:acacia_door,0,,Acacia Door,,item.doorAcacia,net.minecraft.item.ItemDoor,-,doorWood,64,0,minecraft:acacia_door#inventory
minecraft:acacia_fence,0,,Acacia Fence,,tile.acaciaFence,net.minecraft.item.ItemBlock,+,fenceWood,64,0,minecraft:acacia_fence#inventory
minecraft:acacia_fence_gate,0,,Acacia Fence Gate,,tile.acaciaFenceGate,net.minecraft.item.ItemBlock,+,fenceGateWood,64,0,minecraft:acacia_fence_gate#inventory
minecraft:acacia_stairs,0,,Acacia Wood Stairs,,tile.stairsWoodAcacia,net.minecraft.item.ItemBlock,+,stairWood,64,0,minecraft:acacia_stairs#inventory
minecraft:activator_rail,0,,Activator Rail,,tile.activatorRail,net.minecraft.item.ItemBlock,+,,64,0,minecraft:activator_rail#inventory
minecraft:anvil,0,,Anvil,,tile.anvil.intact,net.minecraft.item.ItemAnvilBlock,+,,64,0,minecraft:anvil_intact#inventory
minecraft:anvil,1,,Slightly Damaged Anvil,,tile.anvil.slightlyDamaged,net.minecraft.item.ItemAnvilBlock,+,,64,0,minecraft:anvil_slightly_damaged#inventory
minecraft:anvil,2,,Very Damaged Anvil,,tile.anvil.veryDamaged,net.minecraft.item.ItemAnvilBlock,+,,64,0,minecraft:anvil_very_damaged#inventory
minecraft:apple,0,,Apple,,item.apple,net.minecraft.item.ItemFood,-,,64,0,minecraft:apple#inventory
minecraft:armor_stand,0,,Armor Stand,,item.armorStand,net.minecraft.item.ItemArmorStand,-,,16,0,minecraft:armor_stand#inventory
minecraft:arrow,0,,Arrow,,item.arrow,net.minecraft.item.ItemArrow,-,,64,0,minecraft:arrow#inventory
minecraft:baked_potato,0,,Baked Potato,,item.potatoBaked,net.minecraft.item.ItemFood,-,,64,0,minecraft:baked_potato#inventory
minecraft:banner,15,,White Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,14,,Orange Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,13,,Magenta Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,12,,Light Blue Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,11,,Yellow Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,10,,Lime Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,9,,Pink Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,8,,Gray Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,7,,Light Gray Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,6,,Cyan Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,5,,Purple Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,4,,Blue Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,3,,Brown Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,2,,Green Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,1,,Red Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:banner,0,,Black Banner,,tile.banner,net.minecraft.item.ItemBanner,+,,16,0,minecraft:banner#inventory
minecraft:beacon,0,,Beacon,,tile.beacon,net.minecraft.item.ItemBlock,+,,64,0,minecraft:beacon#inventory
minecraft:bed,0,,White Bed,,item.bed.white,net.minecraft.item.ItemBed,-,,1,0,minecraft:bed#inventory
minecraft:bed,1,,Orange Bed,,item.bed.orange,net.minecraft.item.ItemBed,-,,1,0,minecraft:bed#inventory
minecraft:bed,2,,Magenta Bed,,item.bed.magenta,net.minecraft.item.ItemBed,-,,1,0,minecraft:bed#inventory
minecraft:bed,3,,Light Blue Bed,,item.bed.lightBlue,net.minecraft.item.ItemBed,-,,1,0,minecraft:bed#inventory
minecraft:bed,4,,Yellow Bed,,item.bed.yellow,net.minecraft.item.ItemBed,-,,1,0,minecraft:bed#inventory
minecraft:bed,5,,Lime Bed,,item.bed.lime,net.minecraft.item.ItemBed,-,,1,0,minecraft:bed#inventory
minecraft:bed,6,,Pink Bed,,item.bed.pink,net.minecraft.item.ItemBed,-,,1,0,minecraft:bed#inventory
minecraft:bed,7,,Gray Bed,,item.bed.gray,net.minecraft.item.ItemBed,-,,1,0,minecraft:bed#inventory
minecraft:bed,8,,Light Gray Bed,,item.bed.silver,net.minecraft.item.ItemBed,-,,1,0,minecraft:bed#inventory
minecraft:bed,9,,Cyan Bed,,item.bed.cyan,net.minecraft.item.ItemBed,-,,1,0,minecraft:bed#inventory
