ID,Metadata,NBT Tag Compound,Display Name,Tooltip,Translation Key,Class Name,Is ItemBlock,OreDict Names,Max Stack Size,Max Damage,Model Name
millenaire:alchemist_amulet,0,,Amulet of the Alchemist,,item.millenaire.alchemist_amulet,org.millenaire.common.item.ItemAmuletAlchemist,-,,1,0,millenaire:alchemist_amulet#inventory
millenaire:alchemistexplosive,0,,Alchemist's Explosive,,tile.millenaire.alchemistexplosive,net.minecraft.item.ItemBlock,+,,64,0,millenaire:alchemistexplosive#normal
millenaire:animalspawn,0,,Cow Spawn Point,,tile.millenaire.animalspawn.cow,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:animalspawn#creature=cow
millenaire:animalspawn,1,,Pig Spawn Point,,tile.millenaire.animalspawn.pig,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:animalspawn#creature=pig
millenaire:animalspawn,2,,Sheep Spawn Point,,tile.millenaire.animalspawn.sheep,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:animalspawn#creature=sheep
millenaire:animalspawn,3,,Chicken Spawn Point,,tile.millenaire.animalspawn.chicken,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:animalspawn#creature=chicken
millenaire:animalspawn,4,,Squid Spawn Point,,tile.millenaire.animalspawn.squid,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:animalspawn#creature=squid
millenaire:animalspawn,5,,Wolf Spawn Point,,tile.millenaire.animalspawn.wolf,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:animalspawn#creature=wolf
millenaire:animalspawn,6,,tile.millenaire.animalspawn.polarbear.name,,tile.millenaire.animalspawn.polarbear,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:animalspawn#creature=polarbear
millenaire:bearmeat_cooked,0,,Bear Steak,,item.millenaire.bearmeat_cooked,org.millenaire.common.item.ItemFoodMultiple,-,,64,0,millenaire:bearmeat_cooked#inventory
millenaire:bearmeat_raw,0,,Raw Bear Meat,,item.millenaire.bearmeat_raw,org.millenaire.common.item.ItemFoodMultiple,-,,64,0,millenaire:bearmeat_raw#inventory
millenaire:bed_straw,0,,Straw Bed,,tile.millenaire.bed_straw,org.millenaire.common.item.ItemMillBed,+,,64,0,millenaire:bed_straw#normal
millenaire:boudin,0,,Boudin Noir,,item.millenaire.boudin,org.millenaire.common.item.ItemFoodMultiple,-,,1,6,millenaire:boudin#inventory
millenaire:brickmould,0,,Brick Mould,,item.millenaire.brickmould,org.millenaire.common.item.ItemBrickMould,-,,1,512,millenaire:brickmould#inventory
millenaire:byzantine_stone_tiles,0,,Byzantine Stone Tile,,tile.millenaire.byzantine_stone_tiles,net.minecraft.item.ItemBlock,+,,64,0,"millenaire:byzantine_stone_tiles#axis=x,variant=default"
millenaire:byzantine_tiles,0,,Byzantine Tiles,,tile.millenaire.byzantine_tiles,net.minecraft.item.ItemBlock,+,,64,0,"millenaire:byzantine_tiles#axis=x,variant=default"
millenaire:byzantine_tiles_slab,0,,Byzantine Tile Slab,,tile.millenaire.byzantine_tiles_slab,org.millenaire.common.item.ItemSlabMeta,+,,64,0,"millenaire:byzantine_tiles_slab#axis=x,half=bottom,variant=default"
millenaire:byzantineboots,0,,Byzantine Boots,,item.millenaire.byzantineboots,org.millenaire.common.item.ItemMillenaireArmour,-,,1,429,millenaire:byzantineboots#inventory
millenaire:byzantinehelmet,0,,Byzantine Helmet,,item.millenaire.byzantinehelmet,org.millenaire.common.item.ItemMillenaireArmour,-,,1,363,millenaire:byzantinehelmet#inventory
millenaire:byzantineiconlarge,0,,Large Byzantine Icon,,item.millenaire.byzantineiconlarge,org.millenaire.common.item.ItemWallDecoration,-,,64,0,millenaire:byzantineiconlarge#inventory
millenaire:byzantineiconmedium,0,,Medium Byzantine Icon,,item.millenaire.byzantineiconmedium,org.millenaire.common.item.ItemWallDecoration,-,,64,0,millenaire:byzantineiconmedium#inventory
millenaire:byzantineiconsmall,0,,Small Byzantine Icon,,item.millenaire.byzantineiconsmall,org.millenaire.common.item.ItemWallDecoration,-,,64,0,millenaire:byzantineiconsmall#inventory
millenaire:byzantinelegs,0,,Byzantine Leggings,,item.millenaire.byzantinelegs,org.millenaire.common.item.ItemMillenaireArmour,-,,1,495,millenaire:byzantinelegs#inventory
millenaire:byzantinemace,0,,Byzantine Mace,,item.millenaire.byzantinemace,org.millenaire.common.item.ItemMillenaireSword,-,,1,250,millenaire:byzantinemace#inventory
millenaire:byzantineplate,0,,Byzantine Chestplate,,item.millenaire.byzantineplate,org.millenaire.common.item.ItemMillenaireArmour,-,,1,528,millenaire:byzantineplate#inventory
millenaire:cacauhaa,0,,Cacauhaa,,item.millenaire.cacauhaa,org.millenaire.common.item.ItemFoodMultiple,-,,1,6,millenaire:cacauhaa#inventory
millenaire:calva,0,,Calva,,item.millenaire.calva,org.millenaire.common.item.ItemFoodMultiple,-,,1,16,millenaire:calva#inventory
millenaire:chickencurry,0,,Murgh Curry,,item.millenaire.chickencurry,org.millenaire.common.item.ItemFoodMultiple,-,,1,8,millenaire:chickencurry#inventory
millenaire:cider,0,,Cider,,item.millenaire.cider,org.millenaire.common.item.ItemFoodMultiple,-,,1,6,millenaire:cider#inventory
millenaire:ciderapple,0,,Cider Apple,,item.millenaire.ciderapple,org.millenaire.common.item.ItemFoodMultiple,-,,64,0,millenaire:ciderapple#inventory
millenaire:clothes_byz_silk,0,,Silk Byzantine clothes,,item.millenaire.clothes_byz_silk,org.millenaire.common.item.ItemClothes,-,,64,0,millenaire:clothes_byz_silk#inventory
millenaire:clothes_byz_wool,0,,Wool Byzantine clothes,,item.millenaire.clothes_byz_wool,org.millenaire.common.item.ItemClothes,-,,64,0,millenaire:clothes_byz_wool#inventory
millenaire:decorblock,0,,Norman Tapestry,,tile.millenaire.decorblock.tapestry,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:decorblock#type=tapestry
millenaire:decorblock,1,,Indian Statue,,tile.millenaire.decorblock.indianstatue,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:decorblock#type=indianstatue
millenaire:decorblock,2,,Byzantine Icon Small,,tile.millenaire.decorblock.byzantineiconsmall,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:decorblock#type=byzantineiconsmall
millenaire:decorblock,3,,Byzantine Icon Medium,,tile.millenaire.decorblock.byzantineiconmedium,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:decorblock#type=byzantineiconmedium
millenaire:decorblock,4,,Byzantine Icon Large,,tile.millenaire.decorblock.byzantineiconlarge,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:decorblock#type=byzantineiconlarge
millenaire:decorblock,5,,Maya Statue,,tile.millenaire.decorblock.mayanstatue,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:decorblock#type=mayanstatue
millenaire:decorblock,6,,tile.millenaire.decorblock.hidehanging.name,,tile.millenaire.decorblock.hidehanging,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:decorblock#type=hidehanging
millenaire:denier,0,,Denier,,item.millenaire.denier,org.millenaire.common.item.ItemMill,-,,64,0,millenaire:denier#inventory
millenaire:denierargent,0,,Denier Argent,,item.millenaire.denierargent,org.millenaire.common.item.ItemMill,-,,64,0,millenaire:denierargent#inventory
millenaire:denieror,0,,Denier Or,,item.millenaire.denieror,org.millenaire.common.item.ItemMill,-,,64,0,millenaire:denieror#inventory
millenaire:earth_deco,0,,Dirt Wall,,tile.millenaire.dirtwall,org.millenaire.common.item.ItemBlockMeta,+,,64,0,millenaire:earth_deco#variant=dirtwall
